Time,Q_in_m3_d,S1_in_mg_L,S1_out_mg_L,CH4_Prod_L_d
1,4.471641057622457,3025.8993474909294,1501.348840960418,98.22525798810075
2,5.518975275711193,2732.2135671346596,1517.8975786180713,112.31012374258397
3,4.142466118883501,1489.538027039348,1541.87421012889,124.08383660907967
4,4.0348516774033065,2709.1318723387144,1569.868193576291,133.93980730699678
5,4.667711756081881,2782.8733463772046,1609.2187765543172,148.8676663261759
6,4.805664189490347,2289.2013204956756,1657.2427743816024,177.79358106679138
7,4.681016990192954,3298.6922184892787,1708.2437238779628,227.7095154778369
8,5.90939637294198,2999.5950740176027,1784.3571147418825,300.6849854543619
9,4.32297453254784,2532.486543308669,1840.063071006762,423.79421044743344
10,4.930349024847889,2611.1103074578145,1901.4545775263111,603.338563719354
11,4.018975849287845,1859.4190623962063,1936.0370492318045,886.6724504649519
12,4.120919782924596,2646.601107450264,1953.1878522696968,1298.957691131975
13,4.4731978051571515,2197.1150486220095,1951.3164559792015,1866.6515030272928
14,3.9869520571662953,2538.9737267998125,1911.6623857633665,2654.487685600484
15,4.88169180783858,2129.6712965838415,1848.4720761565338,3580.8551726029104
16,5.674901938759042,3237.1062000197853,1758.430572745169,4573.992559842699
17,4.106782728163646,2155.2835667162817,1607.8389166854056,5866.694483194554
18,5.665901109592001,1917.206821553195,1451.9586394200226,6989.462149290669
19,3.939176631356633,2831.6227824976227,1230.5218628764214,8160.565421218156
20,3.0382476140883057,3066.1483381847356,977.1953902358723,9183.138524808013
21,4.805301060029816,2966.2465103353024,786.9211179312485,9731.927425711387
22,3.388144788628356,2514.9512385358917,588.5731959732165,10068.499250837178
23,4.9632200669777236,1599.751723286971,468.7228711603405,9765.885261828733
24,6.562682161679567,2733.7413082820035,409.42018472851817,9624.879505854633
25,6.212893240156122,2233.443014863791,356.55014028425643,9376.707627812586
26,3.4174936571132575,2888.0272472067595,258.2846413410665,9014.405107045286
27,6.149872504660627,2120.83073771329,237.53305423904973,8719.048834206611
28,4.506636520858968,2375.3819120008066,192.10332303068284,8272.642066116496
29,4.333967673550594,2438.820527479952,155.76753663950245,7873.603201351871
30,4.774704996063003,2792.10026304684,135.8424643654047,7861.374187041465
31,4.111431730183863,3244.007312537566,114.43680529770717,8033.86894128266
32,3.4059898975311445,2108.4963955229405,91.37452523416545,7350.407307837555
33,3.9622083195596263,3120.8925844775795,79.443532955753,7399.188680060982
34,4.038088025055881,2375.5351467652563,71.07692016859436,6955.044349262022
35,4.3741036255837935,2148.0579020715263,66.21670140678955,6420.821287581932
36,4.265325405530039,2437.7592057805855,60.206939782761395,6181.849198364923
37,4.230565476009421,2960.8399817756026,55.74249505163658,6449.442454130005
38,4.440238752918494,1209.9077964980304,54.06526935026558,5281.249881566272
39,4.007843873896143,2475.2724695885368,47.776485825241345,5232.4007909643615
40,2.5877979916332636,2562.6324436625036,35.39859324815957,4800.529844797036
41,4.038000577168056,2697.567596187069,35.22645444266717,5199.476575039273
42,2.538712689714795,3237.182788860935,28.421177472297686,5173.465032643091
43,5.597213821022549,3024.5147164822456,43.83948929469881,6521.409828347075
44,2.5702473589544272,2442.7522460985947,36.35958022631138,5838.7856184725215
45,3.7915222053735054,2575.898664660572,37.21762724599365,5761.045522950962
46,4.04557738224073,1847.1687131764807,38.18760438659459,5167.199327634677
47,6.413104324265344,3152.7917713991355,56.012972540356,6931.0201348810015
48,4.353240313186523,1822.8840398840412,57.221446587965524,6244.31850492856
49,5.135087649337702,2553.4300164293854,62.07351017057124,6460.626062603989
50,5.223326223522292,2252.8462433625978,66.44230678629552,6397.882206686138
51,3.347751680638571,2878.784140579417,54.179052864690945,6182.31392225085
52,5.0234728090100305,1994.3616929753632,57.75843156438711,5915.229708258777
53,6.599785833093804,1958.2943085947113,73.37214950456675,5996.49319028983
54,4.8511352749214876,1643.8605597553276,69.90507320669246,5387.99694832031
55,5.607088211335093,3197.950369804934,74.86290707446429,6437.416625097086
56,2.9704704507971025,1857.8413576925539,59.298508210445455,5780.582664851441
57,4.088096403286085,2229.1453506997964,56.597653530416316,5597.8512953537465
58,5.68500436566524,2338.5738417920606,68.15304234296461,5982.009712482617
59,4.215424761462721,2649.007828376145,65.57947361749044,6107.92629847395
60,3.979186750754519,3204.72498831883,62.42543960173428,6548.15103483054
61,4.358224527428024,2610.432670445648,64.61034403113183,6673.317576860832
62,2.3409159142389844,2305.7898974269256,48.598862400028686,5849.2064043031805
63,4.489494678768206,1887.273608848533,50.55162053181421,5416.832847462323
64,3.27801721229192,2771.612847332347,42.81225806175261,5329.60507515833
65,3.8559110716341234,1856.8244573294023,40.38196650813752,4859.74816220971
66,4.667990526411434,2880.8255915296922,43.97588420362297,5620.646112360957
67,4.711561690772649,2703.4361697589407,50.10655987929206,6104.630103124296
68,3.809568991697831,2071.4581691820154,48.62972098665098,5668.576622994001
69,4.2146367739968,2694.2438345259848,49.253669610853706,5878.3995035461085
70,2.6702252672349687,2740.955091425056,39.15263827051898,5478.424073269977
71,4.410523591031672,3117.2968150354654,43.050690219642554,6231.91401769901
72,3.772420751455529,2546.0346713126655,43.02939032474337,6090.276906985663
73,3.5227927666315377,3118.9840861594057,40.73512659599525,6247.009671806185
74,3.1145168828292653,3225.1676548906107,36.21252157453597,6236.33369946906
75,5.2419186499880475,1567.4524382043319,45.482984976391684,5502.3962560742775
76,4.8867607243578135,2505.919737975987,48.23989721039969,5780.765780650996
77,2.939962082630103,2014.3947935175324,37.94162492089817,4984.614939213358
78,4.216963623541059,2028.093938752213,36.891338161205454,4794.9292411884035
79,6.376291510286839,2890.117181278201,52.79618744698066,6297.427145422343
80,3.569734346757577,2458.2795066660265,48.487630139082036,6047.066196578417
81,5.1601568023062985,2086.906494821664,56.670833162764296,5962.403292875212
82,4.7011126672351775,2665.0556686670266,58.81626192643131,6225.173648963885
83,4.954124355672715,2929.51253900056,63.936225328203136,6797.947835546906
84,4.431958453032686,3200.6562944885754,65.18758364491629,7312.192159408905
85,4.341287471310575,2051.3937546462494,65.18217046413079,6761.60208157572
86,4.8647065980239335,2699.686305979147,67.40375728910405,6907.786519991879
87,4.914997357488556,2295.6344097252518,68.65486651611069,6691.441975734762
88,4.5325561977129425,3143.5135588798667,65.88137059266387,7104.648133599001
89,3.230102907117037,2495.7888703994877,53.629218417984944,6503.592305698314
90,5.6983577230261915,2160.3403518789273,63.00469265125147,6458.442814710945
91,2.7350073737879175,3443.352538399141,47.04311199724863,6231.374476111327
92,4.102880118058493,3421.2626235659586,45.77563363512653,6888.676114775556
93,4.751676661547976,2605.1565684391244,51.750490697594785,6981.55721189541
94,5.896189178011152,2669.7129191158688,66.33926632718094,7466.763612656583
95,4.407409822200964,2592.9170014979,63.5027592568887,7185.4706351899
96,4.9990754702527616,2241.2941682930746,64.40071114972244,6801.615363318065
97,4.202502461087073,2221.2944834460677,56.9725604492959,6221.240002540979
98,4.961858708767307,1749.344450640022,55.59528598111657,5574.86653902776
99,4.733238697942054,2080.6461149684687,52.20714151203869,5348.5773554137095
100,2.663615809860982,1828.352929382419,37.54543601525132,4495.072692751359
