Time,Q_in_m3_d,S1_in_mg_L,Temp_Factor,CH4_Prod_L_d
1,5.69403723160544,2569.756181207019,1.0,96.22492566510282
2,3.4626291336164554,3026.7235540916263,1.0025820034233752,114.06421109246567
3,2.571469142982177,2958.7262551665685,1.0051632417434118,128.83433453428285
4,6.169919791360254,2922.4121384720065,1.007742950083488,135.70503487383098
5,3.88679401437731,2466.5731286946157,1.010320364020348,154.69776836589708
6,6.005905631584059,1629.3335315047827,1.012894719810617,185.9786687444551
7,5.7018555537969,2188.247742719321,1.0154652546171152,237.56854486917376
8,5.84525448427255,1940.9827079730348,1.0180312067349029,313.2504656916445
9,5.856468807500177,2545.941231775714,1.0205918158169898,420.74969472847386
10,4.136004958120326,2341.5378532114923,1.0231463230996423,596.5597236498975
11,4.557760222229761,1701.490339476033,1.0256939716272215,841.5862617946171
12,4.17782928954124,2268.4943826227673,1.0282340064764866,1190.4145500768077
13,5.9007023086035755,1840.0674540347263,1.030765674980293,1581.0100164980574
14,4.015805595095292,2943.0799266103068,1.0332882269506247,2157.1395228071733
15,2.677571588727548,1616.129467438104,1.0358009149008924,2971.833945727777
16,4.319102196857634,2591.3712672059632,1.038302994267428,3818.2974326376298
17,3.3258238327983918,2609.305989481343,1.040793723630116,4882.508459831883
18,5.003208513028511,2508.0186097025794,1.0432723649320914,5843.035181144829
19,5.257531313471524,2047.3774624616115,1.0457381836984434,6724.927628604347
20,3.5268891032422576,3100.00725127889,1.0481904492538547,7677.103126972202
21,3.8001816734576632,2224.376615842065,1.050628434939117,8402.55404720713
22,3.540964989015672,3573.552013997094,1.0530514183264557,9008.957345093728
23,3.476335230955061,1908.1838022411227,1.0554586814336009,9312.054425505545
24,5.486080194559705,2530.698797059717,1.0578495109365411,9477.729463578697
25,3.117273398221915,3318.11829345419,1.0602231983808958,9582.36614469036
26,3.4121729106223335,1467.0838368275386,1.0625790403918476,8952.546292053801
27,4.452843301534421,1761.2553743070125,1.0649163388825647,8094.102776741887
28,3.964600597503162,2025.7655101070995,1.0672344012610615,7239.381271587974
29,3.9840900052767116,2044.0243490788694,1.0695325406354277,6504.2271038832
30,3.412395258919884,2109.666875342213,1.0718100760173683,5820.176225268462
31,3.7029635973644974,2537.0761426324943,1.0740663325239965,5669.64732811198
32,4.400181927151117,1217.644303874462,1.0763006415778156,4785.56607786748
33,4.98564610146103,2427.7743843969006,1.0785123411048325,5210.768287581075
