Time,Q_in_m3_d,S1_in_mg_L,S1_out_mg_L,CH4_Prod_L_d
1,4.431128769399051,2409.497557836727,1500.3869557230291,98.23608248196011
2,5.663503762704321,2776.775609827803,1511.6580152906715,111.82791034594975
3,6.247546562401882,3443.387838773383,1550.1160502988416,119.59741888154477
4,3.8580675563122613,2540.754288514438,1590.0634755286565,130.88794283443403
5,3.8843481409823917,1907.2587695045495,1638.580189682424,149.18210559893788
6,4.490236780543499,1763.7276366260548,1696.8664221094002,181.63567550967872
7,5.392571860824589,2158.8249072743943,1761.2653995360195,231.89575610464516
8,5.4666025313015085,1908.056112856369,1815.2937826106422,306.12352605543094
9,6.399108892979306,2569.3453045535566,1864.9845468891306,403.25755027180406
10,4.717430460875024,1941.018888265092,1887.7532501096075,557.90614476399
11,4.2067828657955735,2309.2131268268104,1893.9424992854488,784.9290211669559
12,6.15847734779974,2560.5048427880097,1904.5778071882035,1044.0957951411508
13,4.544678758122535,1781.9024974842307,1887.3245387308427,1435.2550565527056
14,4.290554073612637,2140.9182579357725,1847.3918244513156,1946.5284676639512
15,5.543362756596588,1846.579910514531,1795.630729493456,2485.597903271248
16,4.950347405676556,3067.7114682131673,1713.1323221655457,3138.9804424679755
17,3.91463405033425,2651.2045833066836,1596.3328043698534,3993.504379903739
18,5.582824442457785,2644.56416836639,1489.5351560219503,4791.498192275686
19,3.0031204628318786,2377.1983551273115,1312.2404509790008,5907.229681366803
20,4.256436871408277,2710.139229529178,1148.672643535672,6873.354704077928
21,3.9445294029693296,2280.8755663816,972.1519160038845,7756.723254246054
22,4.3717105154307685,1941.8411467779508,812.8396756689467,8328.641244641158
23,4.287577159437661,2146.126986036506,662.3765345501819,8568.953274265701
24,5.673955267399728,2450.0249157939115,567.9606619655247,8629.617507314153
25,4.957394720390155,1959.6888023739716,469.2221924028683,8519.432089975462
26,4.69034287340141,2384.5230633992996,381.9666371801927,8341.467826727685
27,5.340109117694883,1576.323557981123,326.7076753260366,7899.384137738468
28,4.908582900643368,2103.251819343855,272.04925283651016,7484.572000782314
29,2.455264814778784,2654.496459200663,189.42496107421707,7005.017284531283
30,5.213684474115246,2940.4498830171456,174.03369466158819,7319.530898485268
31,2.7720763236238506,2834.1361763006785,130.3345215262711,7198.852656969998
32,3.6365526294972934,2341.5366217545807,110.696483634241,7022.8294182249
33,3.7434330691336877,2124.525623638273,96.3763733261054,6635.3273779714
34,5.5549848966198505,2966.8638097336807,104.85803842329629,7283.046549807089
35,2.986630189510636,3233.2289031836503,83.5378028970383,7217.062231140394
36,4.86186386299467,2358.4243730725566,86.27285145148306,7133.076462969094
37,4.185410086198102,3244.7927982769825,80.33584887530073,7446.042824535408
38,4.627369635233152,2499.2438192335303,79.5735057537197,7300.240084952719
39,3.451492811366779,2340.043529965615,66.24996984180403,6594.325888848626
40,5.364411462864266,2851.60194830746,70.88239614773036,7113.56365990865
41,3.269176540476751,2606.69726998154,57.55482260385013,6553.748249632063
42,3.5495223463559675,2925.2487007329582,49.292196739274466,6408.953339548987
43,3.1733439342188996,2094.1633465200484,40.599569026292194,5548.533055242309
44,4.349554614117865,2879.4786012428062,40.76262781982156,6000.760422605391
45,4.540489889749633,4000.0,45.02484119191608,7522.337234523761
46,4.996768870163092,2005.4120359882509,54.57730743770841,6954.020100945694
47,4.032098910972763,3153.1874499872592,51.496578497273205,7066.834228656143
48,3.8893734037937797,2036.0737431347306,46.72827693412238,6173.190873461538
49,3.3512994128289963,3420.3903208519423,38.7007597120414,6319.876377029255
50,5.332285009919307,2715.1692834778237,46.703101033360035,6862.096477810053
51,5.850022725693986,1759.2500790384813,57.674475238065796,6268.110373407665
52,2.9900865586846015,2588.3823325583603,43.11911385464813,5598.205888567798
53,5.370638536093168,2732.015714402474,48.1953983159288,6304.956829938907
54,5.220423841827179,2606.3855639362823,54.79313854488563,6661.577862438893
55,3.965680134555057,2297.2209577841954,50.527311045826686,6219.107758476073
56,4.799483148102029,2481.181138317307,52.87157206710321,6286.263575304229
57,3.5336630818682413,1660.3506236553562,44.93633119912473,5318.4518504805665
58,3.7625403790789647,2938.2399528312676,39.894645195043815,5554.0046434502965
59,5.341349552489799,2654.077671677036,48.82271911330213,6225.46376576441
60,4.428188743357036,1929.0935542172908,50.594750382805806,5776.562375472867
61,3.4897509558467794,2645.8514652389326,43.96156048009109,5603.824156668105
62,5.0633756102968315,2479.420169083616,50.34933898877079,5964.058948738425
63,4.079696832232489,2056.204092513813,48.73291836653386,5577.405094541953
64,4.896413267250236,2118.267033843199,52.56348514220327,5523.664409446509
65,2.25830965740465,1515.1976308764802,37.36470913622023,4451.017539131587
66,4.82375734700386,3470.282224794415,42.09282477553886,5887.989597973913
67,2.5751639202968906,2618.953903453231,34.313346489379896,5512.6516802536635
68,4.207367011241819,2961.9442083842423,39.25819025682924,6062.7347493169245
69,4.203452218912978,3610.4984680239286,44.764104254203936,7028.591870644013
70,4.796076621865388,2771.3302928193966,55.30774668714332,7333.859317598
71,3.8042113807936495,2500.491856656616,53.11576336226195,6843.453725361806
72,3.7918014255900334,2218.980766351958,48.507168723352954,6137.758973159174
73,4.0680809038025005,2058.3954527471187,44.66097235108683,5537.2691840298585
74,3.333943707443118,3207.180214865715,36.91717125618601,5709.444765306312
75,4.249298151491964,2599.6672602727285,37.605934183090966,5864.245704713944
76,5.5613913671598585,2302.0282812805103,48.23944911036397,6148.883453783752
77,6.0336218876262215,2149.49784913806,61.23289993097194,6277.922488694607
78,4.363993761479701,1679.1963174138275,56.771519521805885,5490.79265040046
79,3.4972611253557515,2282.951721621961,46.09419893032378,5088.434632934664
80,3.5663924622888152,2807.6907269641097,39.52629653183253,5235.140690677948
81,5.224211975076493,1979.0288439136884,47.08407349843248,5294.064066962074
82,3.7592571677382414,2945.8439024598547,44.05061262235424,5585.006076945266
83,4.711245207454244,1791.328197990319,49.20535620286787,5293.693663035411
84,4.567236726264134,2699.7194767004157,51.99853200853355,5701.737858494073
85,5.3393542531351565,2997.6312944112624,63.24268880866639,6617.6264631132935
86,2.4342766484008918,2423.2327766620683,48.48374869484893,5995.562740000602
87,4.139640598297702,2218.3537660391285,49.50120245477714,5766.99597558042
88,4.977188153831447,3263.032400660066,57.03214403625296,6770.523705561159
89,3.864056259261573,2418.078729298606,55.13271250592658,6497.648483982426
90,6.336542497936559,2023.4342518481064,73.37904085700742,6493.415413117815
91,2.780066519008649,3514.8209292395813,55.4879216391158,6342.889731635745
92,5.028442946761522,2298.091017673831,59.77670734486814,6341.856960499317
93,5.155555293796651,2101.88347978758,64.24103943084589,6142.778225688686
94,6.088654400688264,3400.470879404359,78.029544609186,7586.46299871507
95,3.8966047630868785,2584.4989594678395,71.03124731891386,7339.747368094025
96,4.317545632119195,2002.261208121397,67.76152241294544,6646.875865850983
97,3.8098304194160404,1676.2480934948562,57.96278495224622,5617.863236287359
98,4.170275226579068,2642.309516436828,51.562662780307626,5679.321713025229
99,3.3342495209969383,2168.1796424810423,42.2594084284723,5169.243336013523
100,4.510730950404922,2163.198476279904,42.87480940374682,5154.276933278727
101,3.882014029155808,2133.4091654518093,40.17162328962607,4939.040654095763
102,6.321572716394862,2546.1277445948867,56.62382215961718,5942.025768126023
103,4.975249385893743,2600.110810163187,63.48416827273113,6316.464829295417
104,2.0249268225901624,2340.6233963846094,44.76977497953259,5509.162366068083
105,5.237920759140996,3102.193213780163,54.84865529471497,6556.967946261603
106,3.839671321183478,3154.822802759276,53.99430200006226,6876.253095998114
107,2.327015454855428,3412.182404114164,41.3947354832825,6503.446778985741
108,6.2553854424842505,1407.0501637408825,59.070797137470855,5733.222176434383
109,4.981943565863996,2980.304385953922,60.50115655007085,6374.007168993397
110,4.238942434400332,3339.2400982895815,57.88053298134168,6961.222236375809
111,4.15939522900856,2223.751236984802,56.58577608647509,6542.015577002323
112,3.0522690227332383,1896.0899416158413,45.7649376927388,5534.098444597891
113,5.720817072256235,2780.3266275448013,55.239604315862145,6431.544331316982
114,5.2099768631382934,3115.166269148526,62.89184231805247,7258.644393507107
115,4.654038159854469,2736.168107587052,65.79317956181445,7365.557173937341
116,4.8479972340915065,2508.992862715592,68.68164587498673,7240.946016274745
117,5.717722056596896,2451.2263226199793,77.34066916555541,7307.636486103472
118,2.9089318021729818,1744.856365254284,57.401647733747694,6001.196126675317
119,4.60852120743905,1737.731355289914,53.104627416362675,5301.825367725991
120,5.664563236475993,2349.1757654965772,56.9710258317447,5699.691559367254
121,4.648489151813296,1869.7613323210685,55.012019219481985,5331.58173958599
122,4.854247400944982,3443.4889823643553,57.15227579094115,6419.1075647753105
123,4.31224112268439,3196.5944294659575,59.154782633060975,7023.28213144353
124,4.25076244458541,3445.1926803986103,62.24122720247856,7687.197162041134
125,5.27808516497146,2024.300436153662,74.4447057436146,7293.406419468677
126,5.78278031598837,2109.5055706398316,83.90876051229134,6980.538269392016
127,5.342898518003959,2345.321728182187,83.26048038118581,6820.694624302932
128,4.752877218186156,1571.8825620081109,75.68793241820144,5905.57648292901
129,4.281760939033043,1811.5210606586706,64.2974990516811,5255.40393922273
130,4.643132502035949,2835.652078464872,59.4548503864417,5712.109309404321
131,4.703775365602343,2550.5674041645116,60.42544314675895,5997.2399491402275
132,3.7907276570500743,1997.0898429541612,55.347486201832254,5578.257293200095
133,4.9398920613243895,2145.3178120713137,59.98550591269709,5586.584956823791
134,4.305224444477283,3065.8013748911508,59.18934809286516,6107.588523877387
135,3.8563123138325657,1970.909537088654,56.05582561042492,5701.4616458269165
136,6.2790330767393066,2580.09496781141,74.82612083349852,6473.719404260844
137,4.590882346879325,3328.535966577235,76.50968029124992,7173.248536852241
138,4.911121941560862,2323.8594453220458,82.35087621862306,7132.227946546758
139,4.209491827008002,2451.149207355063,77.4020079099051,6866.046323951468
140,2.656404504249312,2752.4633930338105,58.172964949058844,6253.90762155629
141,4.321020636761745,2514.815791681432,56.13327581471557,6203.009165182079
142,4.001963911768869,2356.396977957917,52.14283087320722,5923.968981123327
143,3.3011782884797967,2521.679000774732,43.92849713849777,5566.728942323026
144,3.0505463458978266,2701.232607714487,36.3353115311914,5317.243473904948
145,4.606987736381268,1299.164035942332,38.950293393748275,4492.89836357528
146,3.1696775228678207,2156.68846679898,32.111201787400276,4178.883477008254
147,5.49457483856488,2660.6249041078713,40.489727343517345,5279.018111085668
148,3.732828593249322,2588.9138066855426,39.93399058391811,5395.576211408569
149,3.845288783851368,3458.2337374055337,41.37503776716328,6155.525257830069
150,5.315597035593977,3299.034015451295,57.50735553346699,7389.880863636979
151,5.415046788110321,2961.6858931276474,74.84839619439708,8058.354124671912
152,5.69005842174491,3016.2821860397717,90.84745275279442,8651.336114650727
153,4.240071784991772,2858.858983828896,83.85104100851464,8379.73428872841
154,3.8070907689601987,2274.0470989330292,70.83951804660609,7397.375279102995
155,4.202379866626883,2198.7493155541983,61.48374191979081,6578.8696622051
156,5.916135725648029,2158.1546719983876,65.72363035140499,6464.776668800196
157,5.340316114209306,2695.706071738119,65.77837537119969,6785.473172389205
158,4.021854198751688,3273.8710985415046,57.69697232495379,7063.992487079369
159,3.8798506901033503,2292.0596773293073,51.86917667479986,6521.787334956723
160,4.915098671261222,2872.9838440808558,55.35994586406399,6931.125045411492
161,5.464438571665981,1973.6577494640069,62.9506282249057,6531.190820968164
162,4.998432513367631,2550.256050667612,63.29555114119202,6585.601504588799
163,4.433215789797697,2144.689225863775,58.82048869646827,6142.570761721049
164,5.520982201949441,2571.8286453914234,64.476303022584,6525.641831077726
165,4.517459150703607,1822.1264653713724,61.41627847028461,5906.813775494605
166,4.910444547530113,1826.6677496743073,60.62534370159318,5461.726997236622
167,6.106039203662112,1886.844234683995,68.9277297376087,5445.00394602439
168,3.7292511908352544,2366.975515792486,57.61707804759402,5238.568899100849
169,5.226466688998061,1818.270571185125,61.884106015176464,5122.353577500012
170,4.746839218267556,2254.9602142347762,62.69591324627735,5239.744420018726
171,5.66389317801431,2928.5331794762,75.14413585908291,6175.117393497916
172,4.411060439426603,2184.891033128386,76.65059933092147,6150.767068853629
173,5.881031170212162,3663.825427339665,96.41099158024643,7645.400554392359
174,3.218188549335424,3068.750069188984,83.30200179032293,7743.79944668826
175,5.35187727892197,2415.2198571926447,96.52674995864656,7806.409328197594
176,5.442426383184047,2458.792760459262,103.69568291214829,7753.651760396802
177,3.8122537282816342,2434.771839046332,87.10437432995502,7167.498271782997
178,2.383646933570878,3047.720139560949,61.08908556107935,6442.66029956847
179,4.803741089757707,2719.6130332869857,60.48067375322802,6681.814535250261
180,4.49455601437501,2619.1074011489522,59.05810036409935,6670.268512156403
181,4.936341707607041,1731.5146045012148,60.63761239661114,5942.3701790307905
182,6.0648023160433855,3608.527597726912,72.08477451071714,7686.291209594056
183,3.295063180175246,3696.795717230275,60.60795339264553,7896.395370773442
184,4.983552276271692,3121.521256503731,68.32535518783578,8385.110644078486
185,5.067359614524573,2524.03723070801,74.05680798654186,8098.075256422731
186,4.501402544372989,2597.8779689761077,69.15026174310246,7618.0534756528605
187,4.11436271382007,3290.9715616559197,60.33726796282064,7688.656084443665
188,5.226958276576405,1481.7625758423462,61.495485834068674,6362.7005158719685
189,4.507516291592432,2174.7164378336665,53.741818289800136,5837.567650940411
190,6.891564793279372,1693.5278386386062,64.05233584449165,5626.619154212494
191,4.422837965408675,2240.6502828095167,55.356618063387955,5398.708379023266
192,4.331011682384661,3746.9836744664126,51.530922044568,6456.817798682742
193,4.038133743179042,1635.3022767493044,50.25148573874412,5796.449965707129
194,6.1647555850178115,2126.5688476754667,65.70313890676262,6026.196388788598
195,3.8792147743863734,2906.129379367512,58.53799683177976,6134.76554431144
196,5.738743609998357,2759.9009495214477,71.60142400845189,6860.182935949417
197,5.421963536586646,1672.336307375019,80.31847373217857,6343.499340777945
198,5.134483771034536,2764.4392998455805,81.58075877184055,6660.560131686702
199,4.400663534169704,2328.3872058103098,76.08965787663966,6468.040638596231
200,4.743891106521109,1755.664172145463,74.30667867310757,5910.1828191766435
201,5.402521244846592,2411.590195921649,77.67097608717023,6112.155247364907
202,5.188411501659969,2458.1185779793377,80.17556511157811,6316.132177067811
203,3.5289035393983736,3160.3149881221843,68.0827688717654,6462.987672750922
204,5.4030171108059735,2910.4897380662205,79.02536990801802,7176.8989682317
205,3.6886929647343765,2788.616515825682,71.49327123693486,7090.0964590964495
206,2.1132495526592208,2160.597464613742,51.12527155381702,6043.648905590881
207,4.434398592468788,1571.1408034790988,51.152982802646015,5231.746166353452
208,4.847881220606961,2778.074685489458,52.58752120094091,5813.777326901654
209,3.9807479544272075,2800.771889868197,49.56823388977801,6003.436273671224
210,3.966905920881853,3276.186568682619,48.65420079779985,6534.626037145885
211,4.923743291127799,2736.034276526624,57.270481940324565,6932.331213412263
212,3.967611042579467,2200.719113418385,55.335623303183844,6392.336361644724
213,2.7350372901079263,2831.3711401318396,42.991747941394316,5846.830460162178
214,2.771628372850599,3234.338048981237,34.064628940891986,5695.672701336245
215,4.181459445672696,2476.7714967108186,35.69680504438449,5719.188467663805
216,4.111423177227155,2698.1722865585434,37.060881966738116,5885.635148632727
217,5.786989941830668,1959.356153725542,49.17821016617465,5831.057775338776
218,5.949120899994224,2470.9549551633313,60.40909611575559,6355.473879534184
219,4.384388102835913,2784.947062463308,58.05116343684036,6511.452355423933
220,2.981334616876425,3046.1264188905134,46.17414941796406,6263.852622302133
221,4.719396196330482,2556.3403296785687,50.31268397595711,6430.088232203845
222,4.990047881105346,2459.7352134791045,56.21903353373592,6528.2960057581495
223,5.074415176499458,2632.9512215016157,61.4467729484966,6773.527662809744
224,3.904178470201486,2737.995491915133,55.65631182197304,6624.869429099988
225,2.7250760811408115,2172.8624049489804,42.35104114119593,5685.144572833507
