Time,Q_in_m3_d,S1_in_mg_L,Temp_Factor,CH4_Prod_L_d
1,4.517875149107987,2822.492236385989,1.0,98.13372397061038
2,4.5376766842506635,1680.5122723941026,1.0025820034233752,114.11463910833618
3,3.63430447191606,2331.586374383972,1.0051632417434118,126.33020735349983
4,6.9964531124669636,3111.423335428518,1.007742950083488,130.3107843587709
5,5.477508852239925,2506.9386809370567,1.010320364020348,143.33440278575128
6,4.479334435353742,3016.8526984088667,1.012894719810617,172.31081852058549
7,4.801523345058778,2266.395270567601,1.0154652546171152,221.95019230576287
8,5.07565313240488,2418.6464972832337,1.0180312067349029,299.25522310909406
9,5.529267191722865,2940.5537306527904,1.0205918158169898,413.10597209384804
10,4.567609403351607,2491.893587071044,1.0231463230996423,596.2004224496475
11,5.020338385686263,2412.997679885118,1.0256939716272215,862.1494329933439
12,5.258259014135594,2490.450362256668,1.0282340064764866,1241.8045928417434
13,5.106689928981048,2566.1957294334825,1.030765674980293,1782.391934265887
14,5.044709023114036,1694.2029659567506,1.0332882269506247,2515.1189650015344
15,4.0909697867953705,3101.229681148496,1.0358009149008924,3518.760775041367
16,4.250055060487012,2735.1546601379164,1.038302994267428,4721.443301790468
17,4.917398615724082,2743.1230143942344,1.040793723630116,6019.124105915508
18,3.733101085153778,1798.8988695548637,1.0432723649320914,7530.45228785055
19,3.7499240323413,1955.0792584127246,1.0457381836984434,8858.516637307945
20,3.477485382007104,1924.6590765895016,1.0481904492538547,9642.489387979049
21,4.194339780502464,1257.136963914997,1.050628434939117,9510.00837182568
22,5.737228423202917,2187.3987613788227,1.0530514183264557,9016.07606118091
23,4.91905279092824,2400.4715123849082,1.0554586814336009,8590.861319424253
24,6.140693610167767,2021.2174904854146,1.0578495109365411,8203.163768675999
25,5.2396630821150625,2805.051940763044,1.0602231983808958,8148.381314456674
26,6.442504429191474,2968.032143360291,1.0625790403918476,8647.304108340311
27,4.1986913480128,2900.7856445676907,1.0649163388825647,8930.469061682541
28,6.487600312001378,1959.9179119713797,1.0672344012610615,8929.979087781363
29,5.683057260257788,2195.403300291657,1.0695325406354277,8665.389941977775
30,4.337952889948903,2628.4174954046503,1.0718100760173683,8376.556815702294
31,3.7389808421240565,1704.6326524745127,1.0740663325239965,7449.484094727432
32,6.761915893153475,2617.404183635606,1.0763006415778156,7851.267859566655
33,4.908044421235431,2156.8393128960734,1.0785123411048325,7468.144716702402
34,2.661383881076644,1164.7669534749039,1.080700775730745,6052.790257474028
35,3.1805456504206955,2628.5625887874007,1.0828652969751429,5642.4459811621255
36,4.572154143763747,1991.2813235293575,1.0850052634436675,5402.050618439018
37,3.902954108688597,2849.6298204121335,1.0871200410180701,5687.63188961024
38,3.0648747072799534,2698.2856684885915,1.0892090030441146,5539.610409321897
39,4.357683972783382,1513.4880556073608,1.0912715305172689,4902.983130965224
40,5.030570201402738,3053.3275928537405,1.0933070122661301,6023.7268940763215
41,6.371497202176621,3373.965513396292,1.0953148451335266,7905.308614965945
